> df
         obs     pred
380 1.252964 1.375997
381 1.257756 1.395036
382 1.269116 1.379276
383 1.277620 1.359170
384 1.296919 1.357874
385 1.214645 1.324590
386 1.156809 1.345344
387 1.260097 1.339924
388 1.165122 1.338024
389 1.252964 1.335559
390 1.281694 1.360935
391 1.339731 1.371572
392 1.413995 1.366840
393 1.240298 1.345345
394 1.321585 1.385708
395 1.303951 1.378373
396 1.310637 1.383745
397 1.300480 1.378295
398 1.205139 1.369284
399 1.032115 1.346982
400 1.114278 1.348813
401 1.073829 1.358630
402 1.156809 1.376637
403 1.293264 1.374798
404 1.198498 1.363335
405 1.205139 1.346280
406 1.032115 1.363743
407 1.289511 1.347106
408 1.440470 1.394836
409 1.364302 1.357534
410 1.438502 1.378922
411 1.338425 1.395639
412 1.364302 1.369105
413 1.371453 1.319220
414 1.354392 1.356353
415 1.148118 1.306622
416 1.156809 1.340968
417 1.169145 1.351023
418 1.257756 1.335424
419 1.214645 1.351797
420 1.201851 1.356115
421 1.358902 1.380753
422 1.327451 1.373778
423 1.396886 1.377527
424 1.315441 1.349406
425 1.285656 1.359173
426 1.198498 1.341850
427 1.252964 1.367749
428 1.269116 1.370981
429 1.271288 1.352289
430 1.234934 1.348006
431 1.331680 1.368364
432 1.326010 1.368056
433 1.352071 1.386155
434 1.328876 1.362310
435 1.285656 1.363749
436 1.315441 1.348298
437 1.237638 1.359021
438 1.211535 1.338088
439 1.201851 1.325126
440 1.305654 1.356281
441 1.260097 1.358902
442 1.363242 1.369090
443 1.376292 1.376523
444 1.343567 1.372931
445 1.266911 1.345804
446 1.287597 1.345694
447 1.337105 1.367958
448 1.302226 1.374030
449 1.326010 1.369624
450 1.308996 1.363685
451 1.315441 1.361212
452 1.341023 1.371998
453 1.352071 1.371235
454 1.370459 1.383099
455 1.337105 1.355442
456 1.326010 1.355817
457 1.303951 1.345118
458 1.317005 1.347828
459 1.337105 1.361872
460 1.390462 1.373321
461 1.355536 1.367185
462 1.369456 1.378409
463 1.386234 1.378349
464 1.392106 1.394574
465 1.401450 1.380443
466 1.389630 1.366271
467 1.381830 1.349893
468 1.382725 1.359874
469 1.382725 1.365373
470 1.391287 1.375745
471 1.389630 1.374888
472 1.387094 1.391071
473 1.413995 1.385282
474 1.449237 1.401059
475 1.321585 1.362970
476 1.313859 1.357901
477 1.358902 1.377148
478 1.291400 1.347301
479 1.333058 1.375485
480 1.401450 1.394479
481 1.412679 1.396888
482 1.417207 1.419134
483 1.425073 1.426830
484 1.404381 1.386762
485 1.395318 1.372462
486 1.399952 1.388097
487 1.382725 1.372883
488 1.395318 1.386502
489 1.341023 1.346778
490 1.148118 1.329646
491 1.191597 1.312240
492 1.318550 1.352474
493 1.391287 1.364257
494 1.404381 1.389651
495 1.422127 1.386220
496 1.413340 1.365700
497 1.387946 1.353496
498 1.375341 1.377285
499 1.399952 1.389595
500 1.367422 1.376575
501 1.360002 1.383718
502 1.408619 1.386996
503 1.395318 1.387292
504 1.418462 1.421578
505 1.405814 1.409646
506 1.289511 1.390471
