
> df
     obs      pred
380 10.2 22.373769
381 10.4 16.831299
382 10.9 24.565197
383 11.3 18.605840
384 12.3 18.340383
385  8.8  7.311004
386  7.2 12.913187
387 10.5  9.448116
388  7.4  9.852495
389 10.2 11.006910
390 11.5 19.055884
391 15.1 22.404948
392 23.2 23.384337
393  9.7 14.365770
394 13.8 25.866961
395 12.7 22.943975
396 13.1 26.511394
397 12.5 25.681141
398  8.5 21.678978
399  5.0 10.469106
400  6.3 17.354199
401  5.6 17.082284
402  7.2 23.687778
403 12.1 24.629249
404  8.3 16.766663
405  8.5 11.507269
406  5.0 10.396132
407 11.9 10.499266
408 27.9 24.600436
409 17.2 19.592215
410 27.5 27.640758
411 15.0 19.824021
412 17.2 25.531702
413 17.9  7.927276
414 16.3 16.085885
415  7.0  0.317224
416  7.2 18.431222
417  7.5 22.962230
418 10.4 12.773092
419  8.8 10.720462
420  8.4 23.936403
421 16.7 25.995383
422 14.2 24.181388
423 20.8 23.631961
424 13.4 21.799924
425 11.7 21.875804
426  8.3 17.903640
427 10.2 23.589515
428 10.9 20.590436
429 11.0 22.406707
430  9.5 21.750203
431 14.5 26.085716
432 14.1 27.415060
433 16.1 29.242266
434 14.3 25.370666
435 11.7 23.393652
436 13.4 22.132795
437  9.6 23.017261
438  8.7 17.485834
439  8.4 13.436160
440 12.8 18.461941
441 10.5 17.692200
442 17.1 23.721534
443 18.4 24.820967
444 15.4 24.519123
445 10.8 18.163121
446 11.8 20.979485
447 14.9 24.525919
448 12.6 24.098514
449 14.1 23.431233
450 13.0 24.267689
451 13.4 26.004220
452 15.2 26.509843
453 16.1 24.945152
454 17.8 30.358306
455 14.9 24.649378
456 14.1 24.819066
457 12.7 21.207464
458 13.5 21.092623
459 14.9 24.162365
460 20.0 24.271225
461 16.4 26.870465
462 17.7 26.545857
463 19.5 25.853628
464 20.2 28.608795
465 21.4 26.060701
466 19.9 23.729073
467 19.0 22.625788
468 19.1 23.270728
469 19.1 22.213415
470 20.1 23.228134
471 19.9 26.054380
472 19.6 28.634819
473 23.2 28.678252
474 29.8 32.528557
475 13.8 21.263169
476 13.3 22.887479
477 16.7 26.981143
478 12.0 16.351139
479 14.6 24.940413
480 21.4 27.054985
481 23.0 28.997092
482 23.7 33.180159
483 25.0 35.063154
484 21.8 26.216473
485 20.6 25.176084
486 21.2 28.251890
487 19.1 25.425434
488 20.6 26.598988
489 15.2 10.991466
490  7.0  8.022591
491  8.1  3.555091
492 13.6 13.725207
493 20.1 15.594141
494 21.8 20.203862
495 24.5 20.649384
496 23.1 16.942374
497 19.7 13.772465
498 18.3 19.007554
499 21.2 21.387858
500 17.5 18.009073
501 16.8 20.654541
502 22.4 23.363546
503 20.6 21.371053
504 23.9 27.625674
505 22.0 25.969730
506 11.9 21.146609
> 
